date,Open,High,Low,Close,Volume,symbol,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,ma_5,ma_10,ma_50,ma_200,RSI,StochasticOscillator,MACD,MACD_signal,ATR,next_day_movement
2024-01-29,190.8640821459055,191.05295065599336,188.4485916248236,190.58575439453125,47145600.0,AAPL,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,192.73284912109372,190.4167633056641,187.50424194335935,181.5897674560547,182.53407287597656,184.81040954589844,192.444580078125,189.70005950927734,189.7851498413086,180.69531425476075,53.9398870085103,71.08213523675569,0.9418719083242877,0.18455787456256967,3.111194988935871,0
2024-01-30,189.80047228297693,190.6553404086777,186.35118003362723,186.9177703857422,55859400.0,AAPL,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,192.73284912109372,190.4167633056641,187.50424194335935,181.5897674560547,182.53407287597656,191.0251037597656,190.1384292602539,189.7857467651367,180.81036781311036,45.891816999613134,48.13429623114478,0.6324003063839143,0.2741263609268386,3.1964068022297702,0
2024-01-31,185.923727976182,185.98338263365997,183.24979478995036,183.2994842529297,55467800.0,AAPL,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,192.73284912109372,190.4167633056641,187.50424194335935,181.5897674560547,189.01716003417968,190.3094009399414,189.68018005371093,180.90906257629393,39.61297779624934,25.49737975248554,0.09409174946682697,0.2381194386348363,3.2300902874842032,1
2024-02-01,182.8919451500293,185.83427124755644,182.72296153753896,185.74481201171875,64885400.0,AAPL,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,192.73284912109372,190.4167633056641,187.50424194335935,187.5638885498047,190.13345794677736,189.6239178466797,181.01988494873046,45.08163339480522,40.79597091051198,-0.13366335852163047,0.163762879203543,3.2216059605222944,0
2024-02-02,178.78658786144558,186.21200777158808,178.18022776276848,184.7408447265625,102518000.0,AAPL,185.74481201171875,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,192.73284912109372,190.4167633056641,186.2577331542969,189.56586608886718,189.51258636474608,181.11954933166504,43.346018617127555,38.52894914937686,-0.39066929939664874,0.05287644348350465,3.565189821114959,1
2024-02-05,187.02710222804,188.120543422021,184.7308908884036,186.55990600585935,69668800.0,AAPL,184.7408447265625,185.74481201171875,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,192.73284912109372,185.4525634765625,188.94857177734374,189.45373931884765,181.222566986084,47.30459385738407,49.21186508798661,-0.4424648570112879,-0.04619181661545387,3.5526514434365626,1
2024-02-06,185.7448020389232,188.180177168222,185.65534280788864,188.1702423095703,43490800.0,AAPL,186.55990600585935,184.7408447265625,185.74481201171875,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,194.01515197753903,185.70305786132812,188.36408081054688,189.413779296875,181.33848739624023,50.595595329069106,58.668988694116905,-0.34954321146159373,-0.10686209558468185,3.4792359375006194,1
2024-02-07,189.5022417883465,189.9097985097057,187.48435823433903,188.2795867919922,53439000.0,AAPL,188.1702423095703,186.55990600585935,184.7408447265625,185.74481201171875,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,193.33920288085935,186.69907836914064,187.85811920166014,189.40264617919922,181.46302299499513,50.820193960030515,59.31114293452557,-0.2640353172171217,-0.1382967399111698,3.403964818776766,0
2024-02-08,188.25972761232651,188.4088263513659,186.23190892276523,187.1961212158203,40962000.0,AAPL,188.2795867919922,188.1702423095703,186.55990600585935,184.7408447265625,185.74481201171875,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,193.01116943359372,186.98934020996094,187.2766143798828,189.37342224121093,181.58060684204102,48.46889691592932,52.94820629002966,-0.28046330566928646,-0.16673005306279315,3.31631857662133,1
2024-02-09,187.76340641648085,189.0971204380579,187.11646725876847,187.9624786376953,45155200.0,AAPL,187.1961212158203,188.2795867919922,188.1702423095703,186.55990600585935,184.7408447265625,185.74481201171875,183.2994842529297,186.9177703857422,190.58575439453125,191.2716217041016,187.6336669921875,186.9457000732422,189.34739837646484,181.70974464416503,50.22317838384978,57.448841870588524,-0.22900414837349103,-0.17918487212493273,3.2209139053833384,0
